,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
25579,323,0.01659125199967093,5.0,25644.0,31,1000,31
25580,324,0.016660801999933028,5.0,25645.0,31,1000,31
25581,325,0.016727948000152537,5.0,25646.0,31,1000,31
25582,326,0.016798501000266697,5.0,25647.0,31,1000,31
25583,327,0.01686680900002102,5.0,25648.0,31,1000,31
25584,328,0.016933574000177032,5.0,25649.0,31,1000,31
25585,329,0.017004657000143197,5.0,25650.0,31,1000,31
25586,330,0.017079989000194473,5.0,25651.0,31,1000,31
25587,331,0.017158546000246133,5.0,25652.0,31,1000,31
25588,332,0.01723736399981135,5.0,25653.0,31,1000,31
25589,333,0.017321141000138596,5.0,25654.0,31,1000,31
25590,334,0.017406330999619968,5.0,25655.0,31,1000,31
25591,335,0.017489406999629864,5.0,25656.0,31,1000,31
25592,336,0.017569867000020167,5.0,25657.0,31,1000,31
25593,337,0.017649456999606628,5.0,25658.0,31,1000,31
25594,338,0.0177241370001866,5.0,25659.0,31,1000,31
25595,339,0.017802043000301637,5.0,25660.0,31,1000,31
25596,340,0.01787582100041618,5.0,25661.0,31,1000,31
25597,341,0.01796278399979201,5.0,25662.0,31,1000,31
25598,342,0.018045329000415222,5.0,25663.0,31,1000,31
25599,343,0.01813582900012989,5.0,25664.0,31,1000,31
25600,344,0.018221971000457415,5.0,25665.0,31,1000,31
25601,345,0.018312129999685567,5.0,25666.0,31,1000,31
25602,346,0.0183967479997591,5.0,25667.0,31,1000,31
25603,347,0.018483451000065543,5.0,25668.0,31,1000,31
25604,348,0.018563440999969316,5.0,25669.0,31,1000,31
25605,349,0.018649282000296807,5.0,25670.0,31,1000,31
25606,350,0.01873092500045459,5.0,25671.0,31,1000,31
25607,351,0.018806828000379028,5.0,25672.0,31,1000,31
25608,352,0.01888878099998692,5.0,25673.0,31,1000,31
25609,353,0.01897290899978543,5.0,25674.0,31,1000,31
25610,354,0.019051727000260144,5.0,25675.0,31,1000,31
25611,355,0.019125615999655565,5.0,25676.0,31,1000,31
25612,356,0.0192077399997288,5.0,25677.0,31,1000,31
25613,357,0.019285555999886128,5.0,25678.0,31,1000,31
25614,358,0.01935775099991588,5.0,25679.0,31,1000,31
25615,359,0.019444624000243493,5.0,25680.0,31,1000,31
25616,360,0.01953483299985237,5.0,25681.0,31,1000,31
25617,361,0.019631754999863915,5.0,25682.0,31,1000,31
25618,362,0.01972440900044603,5.0,25683.0,31,1000,31
25619,363,0.019812884999737435,5.0,25684.0,31,1000,31
25620,364,0.019906340000488854,5.0,25685.0,31,1000,31
25621,365,0.01999267199971655,5.0,25686.0,31,1000,31
25622,366,0.020079715000065335,5.0,25687.0,31,1000,31
25623,367,0.020167339999716205,5.0,25688.0,31,1000,31
25624,368,0.020254033000128402,5.0,25689.0,31,1000,31
25625,369,0.02034210800047731,5.0,25690.0,31,1000,31
25626,370,0.020433429000149772,5.0,25691.0,31,1000,31
25627,371,0.0205166450004981,5.0,25692.0,31,1000,31
25628,372,0.020607725999980175,5.0,25693.0,31,1000,31
25629,373,0.02069421800024429,5.0,25694.0,31,1000,31
25630,374,0.02078333500048757,5.0,25695.0,31,1000,31
25631,375,0.020867543000349542,5.0,25696.0,31,1000,31
25632,376,0.02095315400038089,5.0,25697.0,31,1000,31
25633,377,0.021038132999819936,5.0,25698.0,31,1000,31
25634,378,0.021120368000083545,5.0,25699.0,31,1000,31
25635,379,0.021210036000411492,5.0,25700.0,31,1000,31
25636,380,0.021303370999703475,5.0,25701.0,31,1000,31
25637,381,0.021400894000180415,5.0,25702.0,31,1000,31
25638,382,0.02149453000038193,5.0,25703.0,31,1000,31
25639,383,0.02157887799967284,5.0,25704.0,31,1000,31
25640,384,0.021652585999618168,5.0,25705.0,31,1000,31
25641,385,0.02172582399998646,5.0,25706.0,31,1000,31
25642,386,0.02190241500011325,5.0,25707.0,31,1000,31
25643,387,0.02199969699995563,5.0,25708.0,31,1000,31
25644,388,0.022082422000494262,5.0,25709.0,31,1000,31
25645,389,0.022182470000188914,5.0,25710.0,31,1000,31
25646,390,0.022281765999650816,5.0,25711.0,31,1000,31
25647,391,0.022375743000338844,5.0,25712.0,31,1000,31
25648,392,0.022469028000159597,5.0,25713.0,31,1000,31
25649,393,0.02256318400031887,5.0,25714.0,31,1000,31
